,buying,maint,doors,persons,lug_boot,safety,Actual_Classification,Learned_Classification
6,1,1,1,1,3,1,unacc,unacc
15,1,1,1,2,3,1,unacc,unacc
18,1,1,1,3,1,1,unacc,unacc
19,1,1,1,3,1,2,unacc,unacc
22,1,1,1,3,2,2,unacc,unacc
34,1,1,2,1,3,2,unacc,unacc
36,1,1,2,2,1,1,unacc,unacc
38,1,1,2,2,1,3,unacc,unacc
44,1,1,2,2,3,3,unacc,unacc
50,1,1,2,3,2,3,unacc,unacc
51,1,1,2,3,3,1,unacc,unacc
54,1,1,3,1,1,1,unacc,unacc
56,1,1,3,1,1,3,unacc,unacc
58,1,1,3,1,2,2,unacc,unacc
59,1,1,3,1,2,3,unacc,unacc
60,1,1,3,1,3,1,unacc,unacc
61,1,1,3,1,3,2,unacc,unacc
63,1,1,3,2,1,1,unacc,unacc
67,1,1,3,2,2,2,unacc,unacc
74,1,1,3,3,1,3,unacc,unacc
75,1,1,3,3,2,1,unacc,unacc
76,1,1,3,3,2,2,unacc,unacc
77,1,1,3,3,2,3,unacc,unacc
79,1,1,3,3,3,2,unacc,unacc
85,1,1,4,1,2,2,unacc,unacc
91,1,1,4,2,1,2,unacc,unacc
97,1,1,4,2,3,2,unacc,unacc
99,1,1,4,3,1,1,unacc,unacc
109,1,2,1,1,1,2,unacc,unacc
110,1,2,1,1,1,3,unacc,unacc
111,1,2,1,1,2,1,unacc,unacc
112,1,2,1,1,2,2,unacc,unacc
118,1,2,1,2,1,2,unacc,unacc
121,1,2,1,2,2,2,unacc,unacc
122,1,2,1,2,2,3,unacc,unacc
126,1,2,1,3,1,1,unacc,unacc
129,1,2,1,3,2,1,unacc,unacc
130,1,2,1,3,2,2,unacc,unacc
133,1,2,1,3,3,2,unacc,unacc
138,1,2,2,1,2,1,unacc,unacc
139,1,2,2,1,2,2,unacc,unacc
144,1,2,2,2,1,1,unacc,unacc
145,1,2,2,2,1,2,unacc,unacc
147,1,2,2,2,2,1,unacc,unacc
151,1,2,2,2,3,2,unacc,unacc
155,1,2,2,3,1,3,unacc,unacc
156,1,2,2,3,2,1,unacc,unacc
158,1,2,2,3,2,3,unacc,unacc
160,1,2,2,3,3,2,unacc,unacc
168,1,2,3,1,3,1,unacc,unacc
170,1,2,3,1,3,3,unacc,unacc
171,1,2,3,2,1,1,unacc,unacc
176,1,2,3,2,2,3,unacc,unacc
177,1,2,3,2,3,1,unacc,unacc
178,1,2,3,2,3,2,unacc,unacc
182,1,2,3,3,1,3,unacc,unacc
183,1,2,3,3,2,1,unacc,unacc
184,1,2,3,3,2,2,unacc,acc
185,1,2,3,3,2,3,unacc,acc
186,1,2,3,3,3,1,unacc,unacc
188,1,2,3,3,3,3,unacc,unacc
196,1,2,4,1,3,2,unacc,unacc
200,1,2,4,2,1,3,unacc,unacc
201,1,2,4,2,2,1,unacc,unacc
203,1,2,4,2,2,3,unacc,unacc
206,1,2,4,2,3,3,unacc,unacc
209,1,2,4,3,1,3,unacc,unacc
210,1,2,4,3,2,1,unacc,unacc
212,1,2,4,3,2,3,unacc,unacc
214,1,2,4,3,3,2,unacc,acc
215,1,2,4,3,3,3,unacc,acc
217,1,3,1,1,1,2,unacc,unacc
223,1,3,1,1,3,2,unacc,unacc
226,1,3,1,2,1,2,unacc,unacc
227,1,3,1,2,1,3,acc,unacc
228,1,3,1,2,2,1,unacc,unacc
232,1,3,1,2,3,2,acc,unacc
233,1,3,1,2,3,3,acc,acc
235,1,3,1,3,1,2,unacc,unacc
238,1,3,1,3,2,2,unacc,acc
241,1,3,1,3,3,2,acc,unacc
242,1,3,1,3,3,3,acc,acc
245,1,3,2,1,1,3,unacc,unacc
246,1,3,2,1,2,1,unacc,unacc
247,1,3,2,1,2,2,unacc,unacc
249,1,3,2,1,3,1,unacc,unacc
252,1,3,2,2,1,1,unacc,unacc
256,1,3,2,2,2,2,unacc,acc
262,1,3,2,3,1,2,unacc,unacc
263,1,3,2,3,1,3,acc,acc
269,1,3,2,3,3,3,acc,unacc
270,1,3,3,1,1,1,unacc,unacc
273,1,3,3,1,2,1,unacc,unacc
276,1,3,3,1,3,1,unacc,unacc
281,1,3,3,2,1,3,acc,unacc
289,1,3,3,3,1,2,unacc,acc
293,1,3,3,3,2,3,acc,acc
294,1,3,3,3,3,1,unacc,unacc
296,1,3,3,3,3,3,acc,acc
298,1,3,4,1,1,2,unacc,unacc
300,1,3,4,1,2,1,unacc,unacc
302,1,3,4,1,2,3,unacc,unacc
303,1,3,4,1,3,1,unacc,unacc
305,1,3,4,1,3,3,unacc,unacc
307,1,3,4,2,1,2,unacc,unacc
311,1,3,4,2,2,3,acc,acc
313,1,3,4,2,3,2,acc,acc
315,1,3,4,3,1,1,unacc,unacc
320,1,3,4,3,2,3,acc,acc
324,1,4,1,1,1,1,unacc,unacc
325,1,4,1,1,1,2,unacc,unacc
327,1,4,1,1,2,1,unacc,unacc
328,1,4,1,1,2,2,unacc,unacc
330,1,4,1,1,3,1,unacc,unacc
338,1,4,1,2,2,3,acc,acc
340,1,4,1,2,3,2,acc,unacc
350,1,4,1,3,3,3,acc,acc
352,1,4,2,1,1,2,unacc,unacc
358,1,4,2,1,3,2,unacc,unacc
365,1,4,2,2,2,3,acc,unacc
367,1,4,2,2,3,2,acc,unacc
370,1,4,2,3,1,2,unacc,acc
371,1,4,2,3,1,3,acc,unacc
375,1,4,2,3,3,1,unacc,unacc
376,1,4,2,3,3,2,acc,acc
377,1,4,2,3,3,3,acc,acc
379,1,4,3,1,1,2,unacc,unacc
380,1,4,3,1,1,3,unacc,acc
381,1,4,3,1,2,1,unacc,unacc
382,1,4,3,1,2,2,unacc,unacc
385,1,4,3,1,3,2,unacc,unacc
386,1,4,3,1,3,3,unacc,unacc
391,1,4,3,2,2,2,acc,acc
392,1,4,3,2,2,3,acc,acc
394,1,4,3,2,3,2,acc,unacc
397,1,4,3,3,1,2,unacc,acc
401,1,4,3,3,2,3,acc,acc
410,1,4,4,1,2,3,unacc,unacc
411,1,4,4,1,3,1,unacc,unacc
418,1,4,4,2,2,2,acc,unacc
422,1,4,4,2,3,3,acc,unacc
426,1,4,4,3,2,1,unacc,acc
430,1,4,4,3,3,2,acc,acc
432,2,1,1,1,1,1,unacc,unacc
436,2,1,1,1,2,2,unacc,unacc
437,2,1,1,1,2,3,unacc,unacc
442,2,1,1,2,1,2,unacc,unacc
446,2,1,1,2,2,3,unacc,unacc
448,2,1,1,2,3,2,unacc,acc
451,2,1,1,3,1,2,unacc,unacc
453,2,1,1,3,2,1,unacc,unacc
454,2,1,1,3,2,2,unacc,unacc
459,2,1,2,1,1,1,unacc,unacc
460,2,1,2,1,1,2,unacc,unacc
465,2,1,2,1,3,1,unacc,unacc
467,2,1,2,1,3,3,unacc,unacc
468,2,1,2,2,1,1,unacc,unacc
471,2,1,2,2,2,1,unacc,unacc
473,2,1,2,2,2,3,unacc,unacc
478,2,1,2,3,1,2,unacc,unacc
480,2,1,2,3,2,1,unacc,unacc
481,2,1,2,3,2,2,unacc,unacc
487,2,1,3,1,1,2,unacc,unacc
489,2,1,3,1,2,1,unacc,unacc
492,2,1,3,1,3,1,unacc,unacc
496,2,1,3,2,1,2,unacc,unacc
497,2,1,3,2,1,3,unacc,unacc
